permutation,Agent2_1_SA_DynamicShape,Agent2_1_SA_DynamicDuration,Agent2_1_SA_DynamicDelay,Agent2_1_SA_EndSpeed,Agent2_1_TA_DynamicShape,Agent2_1_TA_DynamicDuration,Agent2_1_TA_DynamicDelay,Agent2_1_Delay,Agent2_S,Agent2_Speed,Agent2_Type,Agent1_1_SA_DynamicShape,Agent1_1_SA_DynamicDuration,Agent1_1_SA_DynamicDelay,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicShape,Agent1_1_TA_DynamicDuration,Agent1_1_TA_DynamicDelay,Agent1_1_Delay,Agent1_S,Agent1_Speed,Agent1_Type,Ego_S,Ego_Speed,Ego_Vehicle
01BL-KEEP_02SR-KEEP_3_8_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,40.0,bicycle,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_9_of_54.txt,linear,2.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,50.0,bicycle,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_41_of_54.txt,linear,2.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,60.0,bicycle,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_50_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,40.0,bicycle,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_34_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,50.0,bicycle,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_2_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,40.0,bicycle,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_22_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,50.0,bicycle,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_52_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,50.0,bicycle,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_12_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,60.0,bicycle,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_6_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,60.0,bicycle,linear,5.0,1.0,40.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_28_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,50.0,bicycle,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_32_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,40.0,bicycle,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_16_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,50.0,bicycle,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,40.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_53_of_54.txt,linear,2.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,60.0,bicycle,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_25_of_54.txt,linear,2.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,40.0,bicycle,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_54_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,60.0,bicycle,linear,5.0,1.0,60.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_46_of_54.txt,linear,4.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,50.0,bicycle,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,60.0,bicycle,40.0,40.0,car_white
01BL-KEEP_02SR-KEEP_3_29_of_54.txt,linear,2.0,1.0,0.0,Other,5.0,0.0,0.0,50.0,60.0,bicycle,linear,5.0,1.0,50.0,Other,5.0,0.0,0.0,35.0,50.0,bicycle,40.0,40.0,car_white
