min_ttc,Ego_Speed,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Agent2_S,Agent2_Speed,Agent2_1_SA_EndSpeed,Agent2_1_TA_DynamicDuration,Agent2_1_SA_DynamicDuration
1.6355,40.0,45.0,40.0,0.0,5.0,0.5,15.0,10.0,40.0,5.0,2.0
0.3798,40.0,45.0,50.0,0.0,5.0,0.5,15.0,10.0,40.0,5.0,4.0
0.2066,40.0,45.0,50.0,0.0,5.0,0.5,15.0,0.0,50.0,5.0,4.0
0.1136,40.0,45.0,60.0,0.0,5.0,0.5,15.0,10.0,60.0,5.0,2.0
2.1364,40.0,45.0,40.0,0.0,5.0,0.5,15.0,0.0,60.0,5.0,2.0
0.6872,40.0,45.0,50.0,0.0,5.0,0.5,15.0,10.0,60.0,5.0,2.0
2.2516,40.0,45.0,60.0,0.0,5.0,0.5,15.0,0.0,40.0,5.0,2.0
2.2516,40.0,45.0,60.0,0.0,5.0,0.5,15.0,0.0,60.0,5.0,4.0
2.1201,40.0,45.0,40.0,0.0,5.0,0.5,15.0,10.0,60.0,5.0,2.0
0.5983,40.0,45.0,50.0,0.0,5.0,0.5,15.0,10.0,40.0,5.0,2.0
