min_ttc,Ego_Speed,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Agent2_S,Agent2_Speed,Agent2_1_SA_EndSpeed,Agent2_1_TA_DynamicDuration,Agent2_1_SA_DynamicDuration
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1328,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1465,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1241,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1154,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1183,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1181,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1290,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1347,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1224,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1392,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1466,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1289,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1346,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1242,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1392,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1329,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1223,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1152,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1328,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1465,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1241,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1154,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1183,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1181,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1290,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1347,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1224,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1392,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1466,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1289,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1346,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1242,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1392,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1329,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1223,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1152,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
0.1395,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.1328,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1333,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1465,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1241,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
0.1154,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
0.1198,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
0.1469,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.1249,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.1169,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1238,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1350,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.1299,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
