min_ttc,Ego_Speed,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Agent2_S,Agent2_Speed,Agent2_1_SA_EndSpeed,Agent2_1_TA_DynamicDuration,Agent2_1_SA_DynamicDuration
0.1466,40.0,10.0,50.0,10.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1668,40.0,10.0,40.0,20.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1625,40.0,10.0,60.0,10.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1783,40.0,10.0,40.0,20.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1790,40.0,10.0,40.0,20.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1885,40.0,10.0,40.0,10.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1477,40.0,10.0,50.0,20.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1946,40.0,10.0,40.0,10.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1332,40.0,10.0,60.0,10.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1550,40.0,10.0,50.0,20.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1387,40.0,10.0,60.0,10.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1713,40.0,10.0,40.0,20.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1565,40.0,10.0,50.0,10.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1602,40.0,10.0,50.0,20.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1438,40.0,10.0,50.0,20.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1277,40.0,10.0,60.0,20.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1496,40.0,10.0,60.0,20.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1662,40.0,10.0,50.0,20.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1472,40.0,10.0,50.0,10.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1315,40.0,10.0,60.0,20.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1365,40.0,10.0,60.0,10.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1632,40.0,10.0,40.0,20.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1471,40.0,10.0,60.0,20.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1496,40.0,10.0,60.0,20.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1329,40.0,10.0,60.0,20.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1719,40.0,10.0,40.0,20.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1586,40.0,10.0,60.0,10.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1329,40.0,10.0,60.0,20.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1716,40.0,10.0,40.0,20.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1438,40.0,10.0,50.0,20.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.1372,40.0,10.0,60.0,10.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1534,40.0,10.0,40.0,20.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1517,40.0,10.0,50.0,10.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1778,40.0,10.0,50.0,10.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1481,40.0,10.0,50.0,20.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1618,40.0,10.0,40.0,10.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1469,40.0,10.0,60.0,20.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1601,40.0,10.0,50.0,20.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1403,40.0,10.0,50.0,20.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1717,40.0,10.0,50.0,10.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1332,40.0,10.0,60.0,10.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1399,40.0,10.0,50.0,20.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1557,40.0,10.0,50.0,10.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1650,40.0,10.0,50.0,20.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1660,40.0,10.0,40.0,20.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1743,40.0,10.0,40.0,10.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1329,40.0,10.0,60.0,20.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1750,40.0,10.0,40.0,10.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1387,40.0,10.0,60.0,10.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1368,40.0,10.0,60.0,10.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.1863,40.0,10.0,50.0,10.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1588,40.0,10.0,60.0,10.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1312,40.0,10.0,60.0,20.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.1424,40.0,10.0,60.0,20.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1547,40.0,10.0,50.0,20.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1784,40.0,10.0,40.0,20.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1779,40.0,10.0,50.0,10.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1529,40.0,10.0,40.0,20.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1673,40.0,10.0,40.0,10.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1525,40.0,10.0,40.0,20.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1852,40.0,10.0,50.0,10.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1428,40.0,10.0,60.0,20.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1439,40.0,10.0,50.0,20.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1309,40.0,10.0,60.0,20.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1427,40.0,10.0,60.0,20.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1624,40.0,10.0,40.0,10.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1601,40.0,10.0,50.0,20.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1680,40.0,10.0,40.0,10.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1626,40.0,10.0,40.0,20.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1541,40.0,10.0,60.0,10.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1625,40.0,10.0,60.0,10.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1676,40.0,10.0,40.0,10.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.2058,40.0,10.0,40.0,10.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1280,40.0,10.0,60.0,20.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1405,40.0,10.0,50.0,20.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1330,40.0,10.0,60.0,10.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1952,40.0,10.0,40.0,10.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1545,40.0,10.0,60.0,10.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1870,40.0,10.0,40.0,10.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1577,40.0,10.0,40.0,20.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1877,40.0,10.0,40.0,10.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1722,40.0,10.0,50.0,10.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1625,40.0,10.0,40.0,20.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1574,40.0,10.0,40.0,20.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.2057,40.0,10.0,40.0,10.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1630,40.0,10.0,40.0,10.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1515,40.0,10.0,50.0,10.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1778,40.0,10.0,50.0,10.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1279,40.0,10.0,60.0,20.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1957,40.0,10.0,40.0,10.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1560,40.0,10.0,50.0,10.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1585,40.0,10.0,60.0,10.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1481,40.0,10.0,50.0,20.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1712,40.0,10.0,50.0,10.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1387,40.0,10.0,60.0,10.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1572,40.0,10.0,40.0,20.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1546,40.0,10.0,60.0,10.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1855,40.0,10.0,50.0,10.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1625,40.0,10.0,60.0,10.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1653,40.0,10.0,50.0,20.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.2064,40.0,10.0,40.0,10.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1474,40.0,10.0,50.0,10.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1496,40.0,10.0,60.0,20.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1741,40.0,10.0,40.0,10.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1516,40.0,10.0,50.0,10.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.1541,40.0,10.0,50.0,20.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1467,40.0,10.0,60.0,20.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1674,40.0,10.0,40.0,20.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1466,40.0,10.0,50.0,10.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1668,40.0,10.0,40.0,20.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1625,40.0,10.0,60.0,10.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1783,40.0,10.0,40.0,20.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1790,40.0,10.0,40.0,20.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1885,40.0,10.0,40.0,10.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1477,40.0,10.0,50.0,20.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1946,40.0,10.0,40.0,10.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1332,40.0,10.0,60.0,10.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1550,40.0,10.0,50.0,20.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1387,40.0,10.0,60.0,10.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1713,40.0,10.0,40.0,20.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1565,40.0,10.0,50.0,10.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1602,40.0,10.0,50.0,20.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1438,40.0,10.0,50.0,20.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1277,40.0,10.0,60.0,20.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1496,40.0,10.0,60.0,20.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1662,40.0,10.0,50.0,20.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1472,40.0,10.0,50.0,10.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1315,40.0,10.0,60.0,20.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1365,40.0,10.0,60.0,10.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1632,40.0,10.0,40.0,20.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1471,40.0,10.0,60.0,20.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1496,40.0,10.0,60.0,20.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1329,40.0,10.0,60.0,20.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1719,40.0,10.0,40.0,20.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1586,40.0,10.0,60.0,10.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1329,40.0,10.0,60.0,20.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1716,40.0,10.0,40.0,20.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1438,40.0,10.0,50.0,20.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.1372,40.0,10.0,60.0,10.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1534,40.0,10.0,40.0,20.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1517,40.0,10.0,50.0,10.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1778,40.0,10.0,50.0,10.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1481,40.0,10.0,50.0,20.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1618,40.0,10.0,40.0,10.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1469,40.0,10.0,60.0,20.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1601,40.0,10.0,50.0,20.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1403,40.0,10.0,50.0,20.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1717,40.0,10.0,50.0,10.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1332,40.0,10.0,60.0,10.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1399,40.0,10.0,50.0,20.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1557,40.0,10.0,50.0,10.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1650,40.0,10.0,50.0,20.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1660,40.0,10.0,40.0,20.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1743,40.0,10.0,40.0,10.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1329,40.0,10.0,60.0,20.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1750,40.0,10.0,40.0,10.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1387,40.0,10.0,60.0,10.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1368,40.0,10.0,60.0,10.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.1863,40.0,10.0,50.0,10.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1588,40.0,10.0,60.0,10.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1312,40.0,10.0,60.0,20.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.1424,40.0,10.0,60.0,20.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1547,40.0,10.0,50.0,20.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1784,40.0,10.0,40.0,20.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1779,40.0,10.0,50.0,10.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1529,40.0,10.0,40.0,20.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1673,40.0,10.0,40.0,10.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1525,40.0,10.0,40.0,20.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1852,40.0,10.0,50.0,10.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1428,40.0,10.0,60.0,20.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1439,40.0,10.0,50.0,20.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1309,40.0,10.0,60.0,20.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1427,40.0,10.0,60.0,20.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1624,40.0,10.0,40.0,10.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1601,40.0,10.0,50.0,20.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1680,40.0,10.0,40.0,10.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1626,40.0,10.0,40.0,20.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1541,40.0,10.0,60.0,10.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1625,40.0,10.0,60.0,10.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1676,40.0,10.0,40.0,10.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.2058,40.0,10.0,40.0,10.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1280,40.0,10.0,60.0,20.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1405,40.0,10.0,50.0,20.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1330,40.0,10.0,60.0,10.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1952,40.0,10.0,40.0,10.0,5.0,3.0,10.0,50.0,50.0,5.0,5.0
0.1545,40.0,10.0,60.0,10.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1870,40.0,10.0,40.0,10.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1577,40.0,10.0,40.0,20.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1877,40.0,10.0,40.0,10.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1722,40.0,10.0,50.0,10.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1625,40.0,10.0,40.0,20.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1574,40.0,10.0,40.0,20.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.2057,40.0,10.0,40.0,10.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1630,40.0,10.0,40.0,10.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1515,40.0,10.0,50.0,10.0,5.0,5.0,10.0,50.0,60.0,5.0,5.0
0.1778,40.0,10.0,50.0,10.0,5.0,3.0,10.0,50.0,40.0,5.0,5.0
0.1279,40.0,10.0,60.0,20.0,5.0,5.0,10.0,60.0,50.0,5.0,5.0
0.1957,40.0,10.0,40.0,10.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1560,40.0,10.0,50.0,10.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1585,40.0,10.0,60.0,10.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1481,40.0,10.0,50.0,20.0,5.0,5.0,10.0,40.0,40.0,5.0,5.0
0.1712,40.0,10.0,50.0,10.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1387,40.0,10.0,60.0,10.0,5.0,5.0,10.0,40.0,50.0,5.0,5.0
0.1572,40.0,10.0,40.0,20.0,5.0,5.0,10.0,50.0,40.0,5.0,5.0
0.1546,40.0,10.0,60.0,10.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1855,40.0,10.0,50.0,10.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1625,40.0,10.0,60.0,10.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1653,40.0,10.0,50.0,20.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.2064,40.0,10.0,40.0,10.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1474,40.0,10.0,50.0,10.0,5.0,5.0,10.0,60.0,60.0,5.0,5.0
0.1496,40.0,10.0,60.0,20.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1741,40.0,10.0,40.0,10.0,5.0,5.0,10.0,40.0,60.0,5.0,5.0
0.1516,40.0,10.0,50.0,10.0,5.0,5.0,10.0,50.0,50.0,5.0,5.0
0.1541,40.0,10.0,50.0,20.0,5.0,3.0,10.0,60.0,40.0,5.0,5.0
0.1467,40.0,10.0,60.0,20.0,5.0,3.0,10.0,50.0,60.0,5.0,5.0
0.1674,40.0,10.0,40.0,20.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
0.1466,40.0,10.0,50.0,10.0,5.0,5.0,10.0,60.0,40.0,5.0,5.0
0.1668,40.0,10.0,40.0,20.0,5.0,3.0,10.0,60.0,50.0,5.0,5.0
0.1625,40.0,10.0,60.0,10.0,5.0,3.0,10.0,40.0,50.0,5.0,5.0
0.1783,40.0,10.0,40.0,20.0,5.0,3.0,10.0,40.0,60.0,5.0,5.0
0.1790,40.0,10.0,40.0,20.0,5.0,3.0,10.0,40.0,40.0,5.0,5.0
0.1885,40.0,10.0,40.0,10.0,5.0,3.0,10.0,60.0,60.0,5.0,5.0
