min_ttc,Ego_Speed,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Agent2_S,Agent2_Speed,Agent2_1_SA_EndSpeed,Agent2_1_TA_DynamicDuration,Agent2_1_SA_DynamicDuration
1.1370,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.0347,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.4546,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.2672,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.2227,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.4667,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.2096,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.2227,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.4133,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.4546,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.0347,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.3662,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.0347,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.8672,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.2768,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.2768,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.0347,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.2672,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.8672,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.0347,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.4667,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1502,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.4667,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.4546,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.2096,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.8672,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.2096,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.8672,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.4546,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.8672,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.1370,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.2096,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.0815,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.4546,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.2672,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.3662,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.2096,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.4667,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.8672,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.1370,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.4546,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.3662,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.8672,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.4546,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.4667,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1370,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.0347,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.1370,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.3662,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.2227,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.2096,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.2096,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.2672,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.2768,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.0347,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.0829,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.2096,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.2768,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.0347,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.3662,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.2069,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.2768,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.4546,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.4546,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.2096,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.4133,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
0.8672,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.2768,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.2096,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.2227,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.2050,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.0347,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.1486,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.4546,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.4133,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.1370,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.1370,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.4133,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.4133,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.2096,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.1370,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.4546,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.2096,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.2672,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.2227,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.8672,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.2672,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.2096,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.3662,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.4133,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.4546,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.2096,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.4667,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1370,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.0347,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.4546,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.2672,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.2227,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.4667,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.2096,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
1.2227,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.4133,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,4.0
1.4546,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.0347,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.3662,40.0,10.0,60.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.0347,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.8672,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.2768,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.2768,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.0347,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.2672,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
0.8672,40.0,10.0,50.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.0347,40.0,10.0,40.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.4667,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1502,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.4667,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.4546,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.2096,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.8672,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.2096,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,2.0
0.8672,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.4546,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.1634,40.0,10.0,40.0,50.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.8672,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.1370,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.2096,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.0815,40.0,10.0,40.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.4546,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.2672,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
1.3662,40.0,10.0,50.0,50.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.2096,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.4667,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
0.8672,40.0,10.0,60.0,50.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.1370,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.4546,40.0,10.0,50.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,2.0
1.3662,40.0,10.0,60.0,40.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
0.8672,40.0,10.0,40.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,4.0
1.4546,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,60.0,5.0,2.0
1.4667,40.0,10.0,60.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,2.0
1.1370,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.0347,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,50.0,5.0,4.0
1.0951,40.0,10.0,40.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.1370,40.0,10.0,60.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,4.0
1.3662,40.0,10.0,50.0,60.0,5.0,5.0,10.0,10.0,50.0,5.0,4.0
1.2227,40.0,10.0,40.0,60.0,5.0,5.0,10.0,10.0,40.0,5.0,4.0
1.2096,40.0,10.0,50.0,40.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.2096,40.0,10.0,50.0,60.0,5.0,5.0,10.0,0.0,60.0,5.0,2.0
1.2672,40.0,10.0,60.0,60.0,5.0,5.0,10.0,0.0,40.0,5.0,2.0
