min_ttc,Ego_Speed,Agent1_S,Agent1_Speed,Agent1_1_SA_EndSpeed,Agent1_1_TA_DynamicDuration,Agent1_1_SA_DynamicDuration,Agent2_S,Agent2_Speed,Agent2_1_SA_EndSpeed,Agent2_1_SA_DynamicDuration,Agent2_1_TA_Offset,Agent2_1_TA_Period
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,60.0,20.0,5.0,1.5,0.2
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,50.0,10.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,60.0,10.0,5.0,1.5,0.6
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,60.0,20.0,5.0,1.5,0.6
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,60.0,10.0,5.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,60.0,10.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,10.0,3.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,60.0,10.0,3.0,1.5,1.0
0.1625,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,10.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,60.0,10.0,3.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,10.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,20.0,3.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,10.0,3.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,20.0,5.0,1.5,0.6
0.1764,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,10.0,3.0,1.5,0.6
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,20.0,3.0,1.5,0.2
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,10.0,5.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,50.0,20.0,5.0,1.5,0.6
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,60.0,20.0,3.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,20.0,5.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,10.0,3.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,10.0,3.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,20.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,60.0,10.0,5.0,1.5,0.2
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,10.0,5.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,60.0,10.0,5.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,20.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,60.0,20.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,50.0,20.0,5.0,1.5,0.2
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,50.0,20.0,3.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,20.0,3.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,20.0,5.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,20.0,3.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,10.0,5.0,1.5,0.6
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,50.0,20.0,3.0,1.5,0.6
0.1625,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,10.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,50.0,20.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,10.0,5.0,1.5,1.0
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,50.0,10.0,5.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,20.0,3.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,20.0,5.0,1.5,0.2
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,40.0,20.0,5.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,10.0,5.0,1.5,1.0
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,10.0,5.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,20.0,3.0,1.5,1.0
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,40.0,20.0,3.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,60.0,20.0,3.0,1.5,0.2
0.1944,40.0,35.0,40.0,40.0,5.0,5.0,50.0,50.0,10.0,5.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,50.0,10.0,5.0,1.5,0.2
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,60.0,20.0,3.0,1.5,0.6
0.1944,40.0,35.0,40.0,50.0,5.0,5.0,50.0,60.0,10.0,3.0,1.5,0.2
