Version: 2, OpenDRIVE: hct_6.xodr, 3DModel: 
time, id, name, x, y, z, h, p, r, speed, wheel_angle, wheel_rot
0.000, 0, Ego, 690.996, -184.592, 0.000, 1.647, 0.000, 0.000, 11.111, 0.000, 0.000
0.000, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.050, 0, Ego, 690.954, -184.038, 0.000, 1.647, 0.000, 0.000, 11.111, -0.000, 1.587
0.050, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.100, 0, Ego, 690.911, -183.484, 0.000, 1.647, 0.000, 0.000, 11.111, 0.000, 3.175
0.100, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.150, 0, Ego, 690.869, -182.930, 0.000, 1.647, 0.000, 0.000, 11.111, -0.000, 4.762
0.150, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.200, 0, Ego, 690.826, -182.376, 0.000, 1.648, 0.000, 0.000, 11.111, 0.001, 0.066
0.200, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.250, 0, Ego, 690.784, -181.822, 0.000, 1.648, 0.000, 0.000, 11.111, -0.000, 1.653
0.250, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.300, 0, Ego, 690.741, -181.268, 0.000, 1.647, 0.000, 0.000, 11.111, -0.001, 3.241
0.300, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.350, 0, Ego, 690.699, -180.714, 0.000, 1.647, 0.000, 0.000, 11.111, -0.000, 4.828
0.350, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.400, 0, Ego, 690.656, -180.160, 0.000, 1.647, 0.000, 0.000, 11.111, -0.000, 0.132
0.400, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.450, 0, Ego, 690.614, -179.606, 0.000, 1.647, 0.000, 0.000, 11.111, 0.000, 1.719
0.450, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.500, 0, Ego, 690.571, -179.052, 0.000, 1.647, 0.000, 0.000, 11.111, -0.000, 3.307
0.500, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.550, 0, Ego, 690.529, -178.498, 0.000, 1.647, 0.000, 0.000, 11.111, 0.000, 4.894
0.550, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.600, 0, Ego, 690.486, -177.944, 0.000, 1.647, 0.000, 0.000, 11.111, 0.000, 0.198
0.600, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
0.650, 0, Ego, 690.444, -177.390, 0.000, 1.647, 0.000, 0.000, 11.111, 0.000, 1.785
0.650, 1, Agent1, 689.883, -189.691, 0.000, 1.647, 0.000, 0.000, 0.000, 0.000, 0.000
